"CODEGEO";"Région";"Moins 20 ans";"20 - 64 ans";"Plus de 65 ans"
1;"01 - Guadeloupe";28,51;56,78;14,71
2;"02 - Martinique";25,84;57,75;16,41
3;"03 - Guyane";43,08;52,5;4,42
4;"04 - Réunion";32,75;58,13;9,12
11;"11 - Ile-de-France";25,76;61,01;13,23
21;"21 - Champagne-Ardenne";24,22;57,98;17,8
22;"22 - Picardie";25,91;58,37;15,72
23;"23 - Haute-Normandie";25,47;57,96;16,57
24;"24 - Centre";23,97;56,53;19,5
25;"25 - Basse-Normandie";23,93;56,29;19,78
26;"26 - Bourgogne";22,59;56,48;20,93
31;"31 - Nord-Pas-de-Calais";26,71;58,38;14,91
41;"41 - Lorraine";23,48;59,1;17,42
42;"42 - Alsace";24;59,88;16,12
43;"43 - Franche-Comté";24,61;57,38;18,01
52;"52 - Pays de la Loire";25,52;56,73;17,75
53;"53 - Bretagne";24,16;56,58;19,26
54;"54 - Poitou-Charentes";22,35;56,19;21,46
72;"72 - Aquitaine";22,41;57,46;20,13
73;"73 - Midi-Pyrénées";22,77;57,54;19,69
74;"74 - Limousin";20,67;55,9;23,43
82;"82 - Rhône-Alpes";25,31;57,96;16,73
83;"83 - Auvergne";21,78;57,06;21,16
91;"91 - Languedoc-Roussillon";23,14;56,46;20,4
93;"93 - Provence-Alpes-Côte d'Azur";22,94;56,59;20,47
94;"94 - Corse";20,74;58,54;20,72
