ID_REG,Région,A_0-19_ans,B_20-39_ans,C_40-59_ans,D_60-74_ans,E_75_ans_et_+
0,000 France métropolitaine,15664305,15480272,17194678,62290644,5958333
1,001 France entière,16359219,15983034,17758118,64391653,6063010
11,R11 Ile-de-France,3133357,3430843,3193560,11884907,808721
21,R21 Champagne-Ardenne,323237,311396,358478,1300426,128176
22,R22 Picardie,499103,456717,526383,1895642,159781
23,R23 Haute-Normandie,469870,437099,498336,1812118,161462
24,R24 Centre,619140,561988,693920,2482119,272519
25,R25 Basse-Normandie,349147,315085,396745,1420036,162744
26,R26 Bourgogne,370905,346597,441850,1571967,186582
31,R31 Nord-Pas-de-Calais,1086264,1028438,1063106,3994987,321351
41,R41 Lorraine,543256,558303,645666,2272881,220074
42,R42 Alsace,448447,464222,528370,1839882,159325
43,R43 Franche-Comté,287398,273706,315237,1141549,112635
52,R52 Pays de la Loire,947767,854548,977296,3591769,357106
53,R53 Bretagne,791945,731661,880645,3163824,344885
54,R54 Poitou-Charentes,401307,372786,486454,1718638,210843
72,R72 Aquitaine,755472,757009,920716,3235774,360429
73,R73 Midi-Pyrénées,684040,699695,807286,2871682,320834
74,R74 Limousin,153421,147130,198703,691142,96282
82,R82 Rhône-Alpes,1649182,1614445,1724764,6323500,561751
83,R83 Auvergne,297490,290009,374031,1304640,156485
91,R91 Languedoc-Roussillon,643404,619857,738828,2681920,294285
93,R93 Provence-Alpes-Côte d'Azur,1142994,1131608,1333119,4777384,527656
94,R94 Corse,67159,77130,91185,313857,34407
ROM,ROM Départements d'Outre-Mer,694914,502762,563440,2101009,104677
