,,,,,
2. Population totale par âge et sexe,  Population totale : 40-59 ans, ELP : Estimation localisée de population,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341,,
2. Population totale par âge et sexe,  Population totale : moins de 20 ans, ELP : Estimation localisée de population,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341,,
2. Population totale par âge et sexe,  Population totale : 75 ans et plus, ELP : Estimation localisée de population,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341,,
2. Population totale par âge et sexe,  Population totale : 20-39 ans, ELP : Estimation localisée de population,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341,,
2. Population totale par âge et sexe,  Population totale : 60-74 ans, ELP : Estimation localisée de population,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341,,
,,,,,
,,,,,
,2015,2015,2015,2015,2015
,Pop. totale : 40-59 ans,Pop. totale : 0-19 ans,Pop. totale : 75 ans et +,Pop. totale : 20-39 ans,Pop. totale : 60-74 ans
,ELP : Estimation localisée de population,ELP : Estimation localisée de population,ELP : Estimation localisée de population,ELP : Estimation localisée de population,ELP : Estimation localisée de population
000 France métropolitaine,17194678,15664305,5958333,15480272,62290644
001 France entière,17758118,16359219,6063010,15983034,64391653
D01 Ain,178118p,166683p,50125p,148053p,91194p
D02 Aisne,146531p,136487p,49550p,120283p,85892p
D03 Allier,93656p,72799p,45398p,65083p,66744p
D04 Alpes-de-Haute-Provence,45380p,35545p,19290p,31055p,31654p
D05 Hautes-Alpes,39657p,31570p,15441p,28444p,25594p
D06 Alpes-Maritimes,288757p,230876p,129639p,244850p,187699p
D07 Ardèche,90087p,73646p,36354p,63072p,60384p
D08 Ardennes,77912p,67581p,26583p,61128p,45766p
D09 Ariège,42561p,32481p,19373p,29214p,29382p
D10 Aube,80923p,75191p,31079p,69412p,51480p
D11 Aude,100420p,82843p,43815p,72012p,70966p
D12 Aveyron,76240p,57781p,39140p,51826p,53075p
D13 Bouches-du-Rhône,532258p,487235p,185927p,488702p,313562p
D14 Calvados,182580p,170324p,67166p,158542p,114665p
D15 Cantal,41465p,28073p,20593p,26972p,29196p
D16 Charente,99007p,75839p,42729p,71102p,65909p
D17 Charente-Maritime,171133p,135846p,78902p,124467p,129248p
D18 Cher,85698p,67451p,37513p,62036p,59070p
D19 Corrèze,64995p,49234p,33074p,45393p,46017p
D21 Côte-d'Or,140460p,126111p,51091p,129695p,85666p
D22 Côtes-d'Armor,159999p,138275p,74054p,114129p,112981p
D23 Creuse,33746p,22241p,18602p,19889p,24903p
D24 Dordogne,116127p,84028p,56853p,74533p,86678p
